cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
4195,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O,254.28,93.8,263.0,18,3,5,6,150.0
4199,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,298.4,50.3,316.0,22,1,5,5,122.0
4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,209.25,88.9,329.0,15,3,3,1,248.0
4204,CC(C#CC#CC#CC#CCCCCCCCC(=O)O)O,284.3,57.5,589.0,21,2,3,10,97.0
4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0,0.0,248.0,18,0,0,3,77.0
4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,268.74,41.6,262.0,18,1,3,4,137.0
4260,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,279.37,38.8,304.0,20,0,4,7,144.5
4266,C1=C(ONC1=O)CN,114.1,64.4,141.0,8,2,3,1,175.0
4284,CCN(CC)C(=O)C1=CC=CC(=C1)C,191.27,20.3,187.0,14,0,1,3,-45.0
4353,CC(=O)NBr,137.96,29.1,44.9,5,1,1,0,103.5
4362,CCN1C(=O)C=CC1=O,125.13,37.4,166.0,9,0,2,1,45.5
4374,CC(C(C1=CC=CC=C1)O)N(C)C,179.26,23.5,141.0,13,1,2,3,87.5
4382,CNCCC1=CC(=C(C=C1)O)O,167.2,52.5,130.0,12,3,3,3,188.5
4386,C1=CC=C(C=C1)NC2=CC=CC=C2C(=O)O,213.23,49.3,236.0,16,2,3,3,183.5
4420,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,380.78,44.8,206.0,13,0,4,5,26.67
4421,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,232.23,70.5,378.0,17,1,5,2,229.5
4449,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,470.0,51.6,649.0,33,0,5,10,83.5
4463,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,266.3,58.1,397.0,20,1,4,1,196.06
4472,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,298.34,83.1,350.0,22,3,4,7,151.6
4476,C1=CC(=CN=C1)C(=O)OCC(COC(=O)C2=CN=CC=C2)(COC(=O)C3=CN=CC=C3)COC(=O)C4=CN=CC=C4,556.5,157.0,745.0,41,0,12,16,162.0
4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,327.12,95.2,404.0,21,2,4,2,230.0
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,346.3,110.0,608.0,25,1,7,5,173.0
4487,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)C3=CN=CC=C3,308.33,65.5,511.0,23,1,4,3,253.0
4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,282.22,62.2,349.0,20,2,7,3,203.0
4495,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,308.31,110.0,450.0,21,1,6,4,143.75
4496,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3,295.29,78.5,480.0,22,0,4,1,82.0
4497,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,418.4,120.0,736.0,30,1,8,9,125.0
4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,281.27,87.3,452.0,21,1,4,1,225.0
4509,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],238.16,121.0,390.0,17,1,6,2,263.0
4510,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],227.09,165.0,219.0,15,0,9,5,13.5
4511,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,211.13,135.0,272.0,15,1,5,1,184.0
4513,CNC(=C[N+](=O)[O-])NCCSCC1=CSC(=N1)CN(C)C,331.5,140.0,349.0,21,2,8,9,131.0
4528,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,238.33,29.3,272.0,18,1,2,1,180.0
4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,302.4,80.9,303.0,22,4,4,5,185.5
4539,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,319.33,72.9,519.0,23,2,7,3,227.5
4567,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,299.4,52.5,296.0,22,3,3,7,111.25
4592,CN1C=NC2=C(N=C(N=C21)NCCO)NCC3=CC=CC=C3,298.34,87.9,338.0,22,3,6,6,126.0
4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,345.4,96.3,453.0,24,1,6,5,156.0
4602,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O,229.23,69.6,261.0,17,3,3,2,179.0
4605,CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,584.7,207.0,1080.0,41,8,12,4,200.0
