cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
6291,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,310.4,29.5,519.0,23,1,2,2,150.67
6292,CC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C,250.29,32.7,390.0,19,0,2,1,120.0
6294,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,320.0,0.0,218.0,18,0,0,3,109.5
6295,CCC1=CC=C(C=C1)C(C2=CC=C(C=C2)CC)C(Cl)Cl,307.3,0.0,237.0,20,0,0,5,56.0
6300,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,300.4,37.3,589.0,22,1,2,0,163.5
6301,CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,228.07,33.1,214.0,14,1,2,0,114.5
6303,C1[C@H](O[C@H]([C@@H]1O)N2C=NC3=C(N=CN=C32)N)CO,251.24,119.0,307.0,18,3,7,2,225.5
6305,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,204.22,79.1,245.0,15,3,3,3,230.0
6306,CC[C@H](C)[C@@H](C(=O)O)N,131.17,63.3,103.0,9,2,3,3,285.5
6314,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,270.8,32.299,228.0,18,2,2,5,77.5
6317,CC(C)NCC(C1=CC=C(C=C1)[N+](=O)[O-])O,224.26,78.1,220.0,16,2,4,4,98.0
6318,C1=CC(=CC=C1C(=O)O)Cl,156.56,37.3,128.0,10,1,2,1,243.0
6319,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,260.3,24.1,231.0,20,2,2,4,144.0
6323,CBr,94.94,0.0,2.0,2,0,0,0,-93.78
6324,CC,30.07,0.0,0.0,2,0,0,0,-182.86
6325,C=C,28.05,0.0,0.0,2,0,0,0,-169.1
6326,C#C,26.04,0.0,8.0,2,0,0,0,-80.7
6327,CCl,50.49,0.0,2.0,2,0,0,0,-97.43
6328,CI,141.939,0.0,2.0,2,0,0,0,-66.47
6329,CN,31.057,26.0,2.0,2,1,1,0,-93.27
6332,CCBr,108.97,0.0,2.8,3,0,0,0,-118.67
6335,CC#C,40.06,0.0,26.5,3,0,0,0,-102.7
6337,CCCl,64.51,0.0,2.8,3,0,0,0,-138.47
6341,CCN,45.08,26.0,2.8,3,1,1,0,-81.15
6346,C(I)I,267.835,0.0,2.8,3,0,0,0,6.1
6351,C1CC1,42.08,0.0,4.8,3,0,0,0,-127.4
6358,CC(C)Br,122.99,0.0,10.8,4,0,0,0,-89.0
6359,C(Cl)(Cl)Br,163.83,0.0,13.5,4,0,0,0,-57.0
6361,CC(C)Cl,78.54,0.0,10.8,4,0,0,0,-117.2
6362,CC(C)I,169.99,0.0,10.8,4,0,0,0,-90.0
6366,C=C(Cl)Cl,96.94,0.0,27.0,4,0,0,0,-122.33
6367,CC(=O)Cl,78.5,17.1,33.0,4,0,1,0,-112.5
6374,C(I)(I)I,393.73199999999997,0.0,8.0,4,0,0,0,119.0
6375,C[N+](=O)[O-],61.04,45.8,27.5,4,0,2,0,-28.73
6378,CC1CO1,58.08,12.5,26.5,4,0,1,0,-111.98
6383,C(Cl)(Cl)(Cl)Br,198.27,0.0,28.4,5,0,0,0,-5.7
6385,CC(C)(C)N,73.14,26.0,25.1,5,1,1,0,-72.65
6386,CC(C)(C)O,74.12,20.2,25.1,5,1,1,0,25.4
6400,C(C(Br)(Br)Br)O,282.76,20.2,38.5,6,1,1,0,81.0
6401,C(C(Cl)(Cl)Br)Br,256.75,0.0,44.8,6,0,0,1,-26.0
6403,CCC(C)(C)C,86.18,0.0,29.8,6,0,0,1,-99.45
6404,CC(C)(C)CO,88.15,20.2,33.7,6,1,1,1,52.75
6405,CCC(C)(C)O,88.15,20.2,39.2,6,1,1,1,-8.87
6407,C(=O)C(Cl)(Cl)Cl,147.38,17.1,54.3,6,0,1,0,-57.5
6415,C(=O)(C(Br)(Br)Br)O,296.74,37.3,83.4,7,1,2,0,132.0
6416,CC(=O)C(C)(C)C,100.16,17.1,76.7,7,0,1,1,-52.5
6417,CC(C)(C)C(=O)O,102.13,37.3,78.6,7,1,2,1,35.38
6419,C(C(Cl)(Cl)Cl)(Cl)Cl,202.3,0.0,51.6,7,0,0,0,-28.93
6420,C(=O)(C(Cl)(Cl)Cl)Cl,181.8,17.1,82.2,7,0,1,0,-31.8
6421,C(=O)(C(Cl)(Cl)Cl)O,163.38,37.3,83.4,7,1,2,0,57.62
6425,CC(C)(C(C)(C)O)O,118.17,40.5,72.5,8,2,2,1,43.0
6438,CC1(C2CCC1(C(=O)C2Br)C)C,231.13,17.1,246.0,12,0,1,0,76.5
6439,C(=O)(C(C(C(=O)O)(O)O)(O)O)O,182.09,156.0,191.0,12,6,8,3,114.5
6442,CC(C)(CO)[N+](=O)[O-],119.12,66.0,93.9,8,1,3,1,89.5
6455,CCC1(C(=O)NC(=O)NC1=O)C(C)C,198.22,75.3,276.0,14,2,3,2,203.0
6456,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)Cl,278.8,0.0,235.0,20,0,0,3,113.5
6464,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,210.23,75.3,314.0,15,2,3,3,141.0
6465,CCC1(C(=O)CCNC1=O)CC,169.22,46.2,207.0,12,1,2,2,104.0
6466,C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,346.4,104.0,772.0,25,3,6,1,234.0
6468,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,243.4,3.2,242.0,18,0,1,2,46.5
6476,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,203.24,37.4,294.0,15,0,2,1,52.5
6478,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,272.8,0.0,234.0,11,0,0,0,-9.0
6480,CC(CO)(CO)[N+](=O)[O-],135.12,86.3,104.0,9,2,4,2,150.1
6488,CCC(CC)(C(=O)NC(=O)N)Br,237.09,72.2,190.0,12,2,2,3,118.0
6489,CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,279.13,75.3,275.0,15,2,3,3,109.0
6490,CC(C)C(C(C)(C)COC(=O)C(C)C)O,216.32,46.5,207.0,15,1,3,6,-50.0
6491,CC1(C(=O)NC(=O)N1)C,128.13,58.2,174.0,9,2,2,0,178.0
6493,CCC(C)(CC)O,102.17,20.2,46.1,7,1,1,2,-23.6
6494,CCC(C)(C#C)O,98.14,20.2,98.0,7,1,1,2,30.5
6495,CC(C)(OC)OC,104.15,18.5,44.0,7,0,2,2,-47.0
6502,CC(CO)(CO)CO,120.15,60.7,50.4,8,3,3,3,204.0
6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,402.5,105.0,476.0,28,0,8,19,-80.0
6506,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,276.28,99.1,304.0,19,1,7,11,-55.0
6507,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,360.4,99.1,382.0,25,1,7,17,-20.0
6510,CCC(CO)(CO)CO,134.17,60.7,60.4,9,3,3,4,58.0
6525,C#CC1(CCCCC1)O,124.18,20.2,134.0,9,1,1,1,31.5
6526,CCC(C)(CC)OC(=O)N,145.2,52.3,119.0,10,1,2,4,56.0
6536,CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)Cl)(C3=CC=C(C=C3)C)O,438.0,32.7,490.0,31,1,3,10,103.0
6544,CC1=CC(=O)CC(C1)(C)C,138.21,17.1,187.0,10,0,1,0,-8.07
6545,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,290.44,36.9,252.0,20,0,4,9,8.0
6547,CC(C)(C#N)N=NC(C)(C)C#N,164.21,72.3,251.0,12,0,4,2,101.5
6548,CCC(C)(CCCC(C)C)O,158.28,20.2,99.0,11,1,1,5,31.5
6553,CC(CBr)Br,201.89,0.0,20.9,5,0,0,1,-55.49
6554,CCC(C)Br,137.02,0.0,19.6,5,0,0,1,-112.0
6555,CC(C)CBr,137.02,0.0,17.6,5,0,0,1,-119.0
6556,CCC(C)C,72.15,0.0,14.0,5,0,0,1,-159.9
6557,CC(=C)C=C,68.12,0.0,51.1,5,0,0,1,-145.95
6558,CC(C)CN,73.14,26.0,17.6,5,1,1,1,-84.9
6559,CC(C)C#N,69.11,23.8,55.3,5,0,1,0,-71.5
6560,CC(C)CO,74.12,20.2,17.6,5,1,1,1,-108.0
6561,CC(C)C=O,72.11,17.1,30.6,5,0,1,1,-65.68
6562,CC(=C)C=O,70.09,17.1,54.7,5,0,1,1,-81.0
6563,CCC(C)Cl,92.57,0.0,19.6,5,0,0,1,-140.0
6565,C=C(CCl)Cl,110.97,0.0,40.2,5,0,0,1,10.0
6567,CC(CN)N,74.13,52.0,20.9,5,2,2,1,-12.0
6568,CCC(C)O,74.12,20.2,19.6,5,1,1,1,-114.6
6569,CCC(=O)C,72.11,17.1,38.9,5,0,1,1,-86.47
6570,CC(=O)C=C,70.09,17.1,54.7,5,0,1,1,-7.0
6571,CC(=O)CCl,92.52,17.1,42.2,5,0,1,1,-44.67
6572,CC(C#N)O,71.08,44.0,60.5,5,1,2,0,-40.0
6578,CCC(=O)N,73.09,43.1,42.2,5,1,1,1,81.3
6579,C=CC(=O)N,71.08,43.1,57.9,5,1,1,1,84.5
6581,C=CC(=O)O,72.06,37.3,55.9,5,1,2,1,13.52
6582,CC(=O)NC,73.09,29.1,42.2,5,1,1,0,28.0
6584,CC(=O)OC,74.08,26.3,40.2,5,0,2,1,-98.22
6585,CC(=O)OO,76.05,46.5,40.2,5,1,3,1,-0.08
6586,COC(=O)Cl,94.5,26.3,42.9,5,0,2,1,-61.0
6587,CC[N+](=O)[O-],75.07,45.8,37.4,5,0,2,0,-89.64
6588,C(C(Br)Br)(Br)Br,345.65,0.0,26.5,6,0,0,1,0.0
6589,CC(C)C(C)C,86.18,0.0,21.0,6,0,0,1,-128.8
6595,CC(=C)C(=O)N,85.1,43.1,85.5,6,1,1,1,110.0
6598,CN(C)C(=O)Cl,107.54,20.3,61.8,6,0,1,0,-33.0
6607,CC#C[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H](C4=CC(=O)CC[C@]34C)C)C)O,340.5,37.3,706.0,25,1,2,1,102.0
6610,CCC(C)(C)C1=CC(=C(C=C1O)C(C)(C)CC)O,250.38,40.5,242.0,18,2,2,4,180.0
6620,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,256.339,40.5,272.0,19,2,2,2,139.0
